نمونه,پارامتر,کمینه,بیشینه,میانگین,میانه,انحراف معیار,ضریب تغییرات (%),واحد
نمونه: ورودی (تاریخی),temp_wastewater_in,9.0,32.0,25.355,25.0,2.547,10.045,°C
نمونه: ورودی (تاریخی),bod_in,70.0,600.0,242.683,240.0,61.019,25.143,mg/L
نمونه: ورودی (تاریخی),cod_in,145.0,1300.0,443.717,439.0,108.067,24.355,mg/L
نمونه: ورودی (تاریخی),tss_in,40.0,770.0,186.919,178.0,65.94,35.277,mg/L
نمونه: ورودی (تاریخی),ph_in,5.0,9.09,7.674,7.49,0.558,7.27,-
نمونه: ورودی (تاریخی),flowrate_in,361.944,506952.0,395949.192,400248.0,41935.996,10.591,m³/d
نمونه: خروجی (تاریخی),bod_out,0.0,260.0,15.519,11.0,13.789,88.853,mg/L
نمونه: خروجی (تاریخی),cod_out,3.64,723.0,60.604,46.7,46.995,77.544,mg/L
نمونه: خروجی (تاریخی),tss_out,1.0,550.0,34.192,20.0,36.321,106.225,mg/L
نمونه: خروجی (تاریخی),ph_out,5.48,78.0,7.44,7.195,1.445,19.425,-
نمونه: خروجی (تاریخی),temp_effluent_out,9.0,34.0,25.371,26.0,2.72,10.722,°C
نمونه: اقلیم (تاریخی),temp_air,-5.8,37.45,18.518,18.8,9.775,52.786,°C
نمونه: اقلیم (تاریخی),rainfall,0.0,45.0,0.427,0.0,2.059,482.17,mm
نمونه: اقلیم (تاریخی),month,1.0,12.0,6.435,6.0,3.408,52.952,mg/L
نمونه: اقلیم (تاریخی),year,2014.0,2022.0,2017.92,2018.0,2.55,0.126,mg/L
